frame,adult_pitch,adult_yaw,adult_roll,child_pitch,child_yaw,child_roll,adult_angle,child_angle,adult_tdx,adult_tdy,child_tdx,child_tdy,adult_x3,adult_y3,child_x3,child_y3
1,1.8467965126037598,-19.2961368560791,3.204718589782715,105.86165618896484,47.411197662353516,105.9650650024414,-5.259031519956823,-138.51727414194252,1941,1445,1582,1352,1972.0623705226906,1442.1408313457173,1520.1567334574704,1297.3189302464764
2,1.7270244359970093,-18.209901809692383,3.7073395252227783,80.45185852050781,16.86454963684082,88.98674774169922,-5.234311177045107,-107.08774992715274,1939,1445,1582,1348,1967.437417918946,1442.39482070088,1557.050528253374,1266.8387347758644
3,1.8621922731399536,-18.518064498901367,3.686568021774292,-48.27259826660156,-43.63075637817383,45.657474517822266,-5.541358977051787,38.056370782890866,1939,1444,1577,1342,1967.9019316844287,1441.1960027391838,1637.0307119405218,1388.9963187522806
4,1.6055223941802979,-17.976028442382812,4.106297492980957,179.5803680419922,17.747480392456055,149.0568389892578,-4.935442237612521,-178.68912403792368,1939,1442,1573,1342,1966.7757178207785,1439.6014721888878,1546.1756255973664,1341.386175305466
5,1.5913174152374268,-18.13211441040039,3.5906028747558594,-120.23745727539062,-42.612586975097656,112.10971069335938,-4.84719492701321,43.20173969370135,1939,1442,1567,1343,1967.008824319125,1439.6247979529057,1626.5793183612957,1398.9521083938016
6,1.309080719947815,-17.97307014465332,4.479658126831055,-167.27767944335938,-12.441421508789062,152.89463806152344,-4.028386841207022,44.94848429155096,1939,1440,1560,1343,1966.771296417415,1438.04421490123,1578.9588390704714,1361.924777192391
7,1.751167893409729,-17.839675903320312,3.9100875854492188,-103.26800537109375,-43.3206672668457,95.95325469970703,-5.424190376762269,45.905060862538576,1938,1441,1553,1340,1965.571912086245,1438.3819415533442,1614.0611920180572,1403.021399911685
8,2.139610767364502,-17.23011589050293,4.076414585113525,-140.76937866210938,-33.98792266845703,127.21881103515625,-6.864488510327982,43.16952845701825,1936,1441,1549,1333,1962.3627025983697,1437.8263398866418,1599.8706554339008,1380.7198384195074
9,2.0174853801727295,-18.050710678100586,3.7783114910125732,-127.09354400634766,-46.17839431762695,122.99073791503906,-6.1653472530516495,37.43398861305668,1935,1440,1548,1330,1962.5774182956277,1437.0210083395207,1613.6564276803324,1380.2598727891896
10,1.6536866426467896,-18.715497970581055,4.270415782928467,-170.53781127929688,-0.7073209285736084,161.4010772705078,-4.868827457943483,85.70530893712125,1935,1441,1550,1330,1963.8782281788126,1438.5400888442969,1551.1233736848826,1344.958929810629
11,1.3562809228897095,-18.840641021728516,4.415881156921387,-146.33595275878906,-46.14373779296875,133.5220184326172,-3.9680776759301657,28.04073755584852,1936,1441,1554,1327,1964.7414016578477,1439.0062963491978,1619.6182993129705,1361.9497362195266
12,1.6802319288253784,-16.701847076416016,2.7824172973632812,-172.4005889892578,-9.966344833374023,158.82028198242188,-5.581324705228652,36.96477171991738,1936,1438,1563,1328,1960.71566139917,1435.5847413573,1578.9224103416586,1339.9830548960263
13,1.6987674236297607,-18.899877548217773,3.935615062713623,-8.892189979553223,-37.60395050048828,15.309076309204102,-4.948659214652634,11.34805354400877,1933,1438,1575,1329,1960.5328092075758,1435.6160494243816,1631.1383818446116,1340.2665265938513
14,2.0616486072540283,-18.710065841674805,3.6219146251678467,0.39577803015708923,-25.478239059448242,5.091249942779541,-6.063306988680657,-0.8305127784119384,1933,1438,1587,1331,1960.587029441546,1435.0696647176937,1626.575481238981,1330.4263059981345
15,2.2888104915618896,-17.545385360717773,3.209512710571289,0.5038697123527527,-25.01114845275879,4.649249076843262,-7.199127416712384,-1.0798615196159478,1932,1438,1600,1332,1958.227123227322,1434.6871496226433,1638.4743114700918,1331.2747834332363
16,2.9702160358428955,-15.429903984069824,3.4142563343048096,3.352396011352539,-26.47956085205078,-1.4496121406555176,-10.632775757482467,-6.695394742018189,1932,1437,1615,1334,1955.147156762229,1432.654420925252,1654.6831895276907,1329.3415302193953
17,2.207810878753662,-16.711347579956055,4.201434135437012,2.527991533279419,-20.098573684692383,0.3934404253959656,-7.311950396840177,-6.873192720756009,1933,1436,1629,1332,1957.7293199840128,1432.8268583779086,1659.239996929655,1328.3549132072908
18,1.931073546409607,-17.582521438598633,3.7305471897125244,177.73089599609375,16.846437454223633,-173.3800506591797,-6.06999916074559,-172.55057719548978,1933,1435,1643,1331,1958.6767244813154,1432.269547222119,1617.2071232561652,1327.6274636687483
19,2.4453563690185547,-14.728738784790039,4.153524398803711,2.6199424266815186,-25.234222412109375,0.19338834285736084,-9.218919997779178,-5.539775575521242,1935,1435,1658,1328,1957.3733921237285,1431.3687189224888,1695.5161307302749,1324.361319995635
20,2.4086077213287354,-12.632994651794434,4.327928066253662,179.91921997070312,16.809070587158203,178.6085968017578,-10.619940233414798,-179.7325906103767,1935,1435,1672,1326,1954.246058198776,1431.3912650033483,1646.262680449737,1325.879878571469
21,2.4788498878479004,-15.951953887939453,2.9403088092803955,174.90863037109375,22.159900665283203,179.345703125,-8.604241903050259,-167.7075994298013,1935,1436,1687,1326,1958.9103137825498,1432.3820943095445,1653.8070402292553,1318.7673760836578
22,2.373896598815918,-15.734633445739746,3.3103106021881104,179.43594360351562,21.15235710144043,-173.381103515625,-8.363528803855912,-178.5425472709438,1935,1436,1702,1326,1958.5928610742778,1432.531453274012,1669.5235709150663,1325.173707517521
23,1.9896628856658936,-17.133934020996094,3.141895055770874,178.14808654785156,25.150436401367188,-172.33428955078125,-6.42552614754391,-176.0625451783218,1935,1436,1718,1324,1960.3361465578766,1433.1466655897916,1679.7503222852217,1321.3672770471912
24,2.787421941757202,-14.926471710205078,2.4225809574127197,175.71212768554688,16.899627685546875,-173.1715087890625,-10.338644283259953,-166.17450540336324,1934,1436,1735,1316,1956.4093947105475,1431.9119072183125,1709.1280576629242,1309.6330334881527
