frame,adult_pitch,adult_yaw,adult_roll,child_pitch,child_yaw,child_roll,adult_angle,child_angle,adult_tdx,adult_tdy,child_tdx,child_tdy,adult_x3,adult_y3,child_x3,child_y3
1,None,None,None,2.7752089500427246,-20.226722717285156,1.378739595413208,None,-7.486118519481416,None,None,1778,1194,None,None,1828.8231727760533,1187.321528701723
2,None,None,None,3.780607223510742,-25.821218490600586,-0.6371852159500122,None,-7.759714414692627,None,None,1799,1209,None,None,1862.1568526264405,1200.393822853571
3,None,None,None,3.3025851249694824,-27.041259765625,0.7902048230171204,None,-6.439333903138118,None,None,1811,1209,None,None,1874.6484864452636,1201.816430103865
4,None,None,None,2.868547201156616,-21.182331085205078,1.4389897584915161,None,-7.358507911262412,None,None,1821,1209,None,None,1869.4191629806642,1202.747100687882
5,None,None,None,4.324387073516846,-24.079771041870117,-1.6673624515533447,None,-9.57706638554772,None,None,1831,1225,None,None,1885.6730942011911,1215.7752466486704
6,None,None,None,3.3737826347351074,-20.103708267211914,0.8115981817245483,None,-9.133949015963244,None,None,1846,1234,None,None,1890.3399426439012,1226.870942869387
7,None,None,None,3.013808012008667,-20.29180335998535,0.23330599069595337,None,-8.092952746238513,None,None,1866,1235,None,None,1909.003383982401,1228.8851084958615
8,None,None,None,2.6324808597564697,-18.88852882385254,1.1505340337753296,None,-7.64546301945383,None,None,1888,1241,None,None,1926.1999049898238,1235.872190718486
9,None,None,None,2.3081374168395996,-20.011478424072266,1.8345667123794556,None,-6.3102526706612565,None,None,1909,1265,None,None,1949.3805917526654,1260.5346271324684
10,None,None,None,2.1239376068115234,-19.57671546936035,2.3391547203063965,None,-5.949544900552848,None,None,1923,1270,None,None,1960.1926255376773,1266.1240083976618
11,None,None,None,2.205047845840454,-21.310733795166016,2.1115562915802,None,-5.632912417090297,None,None,1934,1265,None,None,1973.6134106142727,1261.092895932479
12,None,None,None,2.4767768383026123,-17.97040367126465,1.9610319137573242,None,-7.589081558987768,None,None,1944,1275,None,None,1977.0122477872515,1270.6016284507596
13,None,None,None,2.196176767349243,-19.34769630432129,2.1360185146331787,None,-6.228418811172854,None,None,1957,1280,None,None,1990.1299945044912,1276.3843034900622
14,None,None,None,2.302313804626465,-20.246063232421875,1.1384913921356201,None,-6.215835119836457,None,None,1972,1276,None,None,2006.2592077030288,1272.2686786271638
15,None,None,None,2.5377092361450195,-19.746000289916992,0.7421194314956665,None,-7.031826946786454,None,None,1991,1275,None,None,2024.1093991303767,1270.9160066404158
16,None,None,None,1.8410370349884033,-19.14313316345215,3.4909119606018066,None,-5.287706007710042,None,None,2008,1287,None,None,2040.137059889608,1284.0256899656395
17,None,None,None,1.8013399839401245,-18.53520393371582,2.4574973583221436,None,-5.356123379538916,None,None,2021,1290,None,None,2051.199290546115,1287.168657882756
18,None,None,None,3.3634657859802246,-24.225393295288086,-0.9717680215835571,None,-7.428982330741696,None,None,2032,1286,None,None,2068.9294545228163,1281.1847046412418
19,None,None,None,1.847049593925476,-17.75601577758789,3.0244786739349365,None,-5.7477377835685575,None,None,2040,1290,None,None,2067.7517509608874,1287.2066524501536
