frame,adult_pitch,adult_yaw,adult_roll,child_pitch,child_yaw,child_roll
1,4.489482879638672,-16.10775375366211,-0.22820036113262177,0.5963073968887329,-9.21185302734375,6.0072808265686035
2,4.66364860534668,-3.5199732780456543,-2.0534515380859375,0.7425298690795898,-5.301603317260742,4.093130588531494
3,4.595890998840332,-13.510807991027832,-0.5263413190841675,0.48144692182540894,-4.935196399688721,5.885516166687012
4,-3.4118235111236572,6.239843845367432,-1.2333261966705322,-0.0007137607899494469,-1.995743989944458,7.2914581298828125
5,3.990469217300415,-16.146221160888672,3.515972137451172,-0.4560641944408417,-6.226289749145508,7.174596786499023
6,3.9442834854125977,-14.508405685424805,3.11482834815979,1.7742681503295898,-2.2849373817443848,6.550610542297363
7,4.007641792297363,-17.061460494995117,0.9325091242790222,-1.1199358701705933,-5.597759246826172,8.165887832641602
8,7.007565498352051,-2.8479859828948975,4.60724401473999,1.5601742267608643,-11.30161190032959,7.090909004211426
9,5.751765727996826,3.884117364883423,2.7386701107025146,-2.3320529460906982,-0.15458041429519653,9.731266021728516
10,7.147859573364258,-4.242859840393066,6.884969234466553,-6.447110652923584,2.0881590843200684,8.337329864501953
11,6.46541166305542,-4.932803153991699,5.739163875579834,-12.461142539978027,0.774442732334137,8.728114128112793
12,4.217116355895996,-0.39506393671035767,3.734553098678589,-2.7634334564208984,-0.9266616702079773,6.868425369262695
13,3.5309605598449707,-1.837427020072937,3.707105875015259,-10.193309783935547,1.5349115133285522,7.749187469482422
14,2.615243911743164,0.7308209538459778,3.363476514816284,-11.613548278808594,3.4096336364746094,6.711287975311279
15,1.805946707725525,0.06620423495769501,2.7457456588745117,-0.3151133954524994,-9.369659423828125,5.686029434204102
16,1.6933250427246094,1.9589860439300537,1.5806992053985596,-3.6458890438079834,-3.2903223037719727,8.228013038635254
17,0.7642467617988586,-2.471198558807373,2.477017402648926,-0.29561057686805725,-11.34154224395752,6.743945121765137
18,5.496397972106934,-0.7223168611526489,4.406680107116699,0.8626874685287476,-13.481943130493164,4.4181928634643555
19,1.7691088914871216,-2.3602848052978516,4.790827751159668,0.7896605134010315,-15.675336837768555,4.7561821937561035
20,0.6354082822799683,-6.466442584991455,6.396731376647949,0.24403153359889984,-17.373777389526367,5.287266731262207
21,-2.649594306945801,-5.304511070251465,3.8826754093170166,-0.5651548504829407,-16.448043823242188,6.094294548034668
22,-4.691922187805176,-5.332036018371582,5.261851787567139,0.5633236765861511,-17.795970916748047,4.5698699951171875
23,-3.0155415534973145,-6.126798629760742,4.587708950042725,0.8056127429008484,-17.43785858154297,4.0334954261779785
24,-4.591675758361816,-4.547504901885986,4.138849258422852,0.4408044219017029,-17.88386344909668,4.590423583984375
25,-5.661614418029785,-5.311412811279297,3.2777364253997803,0.33670979738235474,-19.72198486328125,4.673868656158447
26,-8.584425926208496,-5.498120307922363,4.854034423828125,1.683858871459961,-19.403366088867188,3.2551157474517822
27,-4.347157955169678,-6.964067459106445,5.711430549621582,1.4066481590270996,-19.28117561340332,2.8386805057525635
28,-2.9896135330200195,-6.89920711517334,5.014508247375488,1.9494428634643555,-18.10822296142578,2.462334632873535
29,-4.920563220977783,-5.673459053039551,6.032937049865723,1.181208848953247,-19.096920013427734,3.2436299324035645
30,-3.4137022495269775,-7.103080749511719,5.068093299865723,1.94938063621521,-18.735172271728516,2.4543936252593994
31,-7.147184371948242,-6.753367900848389,4.718637943267822,1.582175612449646,-20.46744728088379,3.2601723670959473
32,-4.6873698234558105,-7.006912708282471,4.93534517288208,-6.425500392913818,-29.429780960083008,11.148981094360352
33,-8.44522762298584,-8.318480491638184,6.619957447052002,-5.13653564453125,-41.50067138671875,21.65068817138672
34,-7.49437141418457,-8.681488990783691,6.156604766845703,-9.208516120910645,-47.85707092285156,24.344480514526367
35,-7.162598133087158,-8.099325180053711,5.231952667236328,-4.76146125793457,-28.87666893005371,6.488183975219727
36,-9.164319038391113,-8.688735961914062,5.021212100982666,9.601398468017578,-39.74107360839844,-9.087783813476562
37,-8.800082206726074,-7.604301929473877,6.915147304534912,6.691175937652588,-44.08857345581055,-7.515078544616699
38,-9.140999794006348,-7.622657299041748,5.506691932678223,3.986603260040283,-47.26993942260742,-5.833240985870361
39,-8.466073989868164,-10.166394233703613,6.808035373687744,None,None,None
40,-9.332559585571289,-8.298201560974121,5.416760444641113,None,None,None
41,-7.730898857116699,-9.528903007507324,5.706179141998291,None,None,None
42,-8.944459915161133,-8.936100959777832,8.227014541625977,3.6785778999328613,-29.32549476623535,-9.632859230041504
43,-17.996902465820312,-46.27999496459961,9.93388557434082,None,None,None
44,-3.9697844982147217,-62.577606201171875,-5.752615928649902,-37.262088775634766,-66.58811950683594,37.99537658691406
45,-5.447535037994385,-22.573936462402344,-0.8598170280456543,-1.7806156873703003,-41.38388442993164,6.374279499053955
46,-7.120439052581787,-30.38275718688965,1.6617668867111206,None,None,None
47,-13.776144981384277,-20.987380981445312,15.796971321105957,None,None,None
48,-9.51827335357666,-10.039375305175781,5.509310722351074,84.0688247680664,61.99294662475586,78.19449615478516
49,-2.833961248397827,-9.100528717041016,3.7894949913024902,None,None,None
